district,school.year,total.revenue,total.revenue.per.pupil,local.revenue.per.pupil,local.percent.total.revenue,state.revenue.per.pupil,state.percent.total.revenue,federal.revenue.per.pupil,federal.percent.total.revenue,other.revenue.per.pupil,other.percent.total.revenue
Reardan-Edwall School District,2012-13,6271999,10698.32,2157.05,20.2,7803.28,72.9,704.32,6.6,33.68,0.3
Renton School District,2012-13,140570868,9775.92,2655.98,27.2,6197.74,63.4,895.80,9.2,26.40,0.3
Republic School District,2012-13,4181485,12196.61,1691.52,13.9,7813.26,64.1,2647.05,21.7,44.79,0.4
Richland School District,2012-13,101167853,8948.03,2113.83,23.6,6219.17,69.5,615.04,6.9,0.00,-
Ridgefield School District,2012-13,16906481,8219.92,2109.19,25.7,5783.04,70.4,294.42,3.6,33.26,0.4
Ritzville School District,2012-13,4493339,13741.94,3437.85,25,7610.77,55.4,980.98,7.1,1712.33,12.5
Riverside School District,2012-13,15503818,10727.88,2102.56,19.6,7449.72,69.4,974.87,9.1,200.73,1.9
Riverview School District,2012-13,29225469,9183.24,2898.64,31.6,5876.26,64,408.34,4.4,0.00,-
Rochester School District,2012-13,20111661,9441.12,1836.40,19.5,6839.37,72.4,765.35,8.1,0.00,-
Roosevelt School District,2012-13,455005,16077.92,1277.11,7.9,13455.46,83.7,1241.82,7.7,103.52,0.6
Rosalia School District,2012-13,3157883,16194.27,3022.98,18.7,11719.23,72.4,1396.75,8.6,55.31,0.3
Royal School District,2012-13,14911749,9574.16,906.74,9.5,7358.94,76.9,1308.48,13.7,0.00,-
San Juan Island School District,2012-13,8472326,10566.50,3182.11,30.1,6286.08,59.5,597.58,5.7,500.73,4.7
Satsop School District,2012-13,666545,11704.04,1781.05,15.2,8476.35,72.4,1446.64,12.4,0.00,-
Seattle Public Schools,2012-13,565215538,11671.05,3798.67,32.5,6413.51,55,1075.11,9.2,383.75,3.3
Sedro-Woolley School District,2012-13,39803375,9759.87,2259.18,23.1,6661.14,68.3,802.02,8.2,37.53,0.4
Selah School District,2012-13,31046759,9380.62,1746.00,18.6,6839.09,72.9,795.53,8.5,0.00,-
Selkirk School District,2012-13,4134923,18138.81,5568.58,30.7,10619.44,58.5,1806.03,10,144.76,0.8
Sequim School District,2012-13,25098706,9041.39,2132.44,23.6,6118.99,67.7,789.96,8.7,0.00,-
Shaw Island School District,2012-13,364456,16343.31,1206.96,7.4,14178.44,86.8,957.91,5.9,0.00,-
Shelton School District,2012-13,41967634,10186.91,1786.35,17.5,6833.37,67.1,1092.39,10.7,474.81,4.7
Shoreline School District,2012-13,87660070,10315.00,3512.46,34.1,6217.71,60.3,582.41,5.6,2.43,0
Skamania School District,2012-13,873355,11738.64,1603.83,13.7,7368.34,62.8,2492.16,21.2,274.32,2.3
Skykomish School District,2012-13,1979964,58063.46,13912.21,24,40934.17,70.5,3109.67,5.4,107.41,0.2
Snohomish School District,2012-13,90152962,9334.80,2471.91,26.5,6323.12,67.7,449.14,4.8,90.64,1
Snoqualmie Valley School District,2012-13,53949116,8869.49,2690.95,30.3,5714.15,64.4,339.76,3.8,124.63,1.4
Soap Lake School District,2012-13,5800378,12892.88,1803.88,14,8273.36,64.2,2815.65,21.8,0.00,-
South Bend School District,2012-13,6677320,12731.56,1548.06,12.2,9424.92,74,1487.86,11.7,270.72,2.1
South Kitsap School District,2012-13,87918877,9356.96,2244.90,24,6383.55,68.2,727.83,7.8,0.69,0
South Whidbey School District,2012-13,15035683,10206.00,2934.43,28.8,6648.24,65.1,615.47,6,7.85,0.1
Southside School District,2012-13,2248599,11947.92,3254.60,27.2,7689.66,64.4,998.36,8.4,5.31,0
Spokane School District,2012-13,305757300,10630.77,2506.97,23.6,6832.39,64.3,1208.42,11.4,82.99,0.8
Sprague School District,2012-13,1889395,26603.70,4430.93,16.7,20663.76,77.7,1463.22,5.5,45.79,0.2
St. John School District,2012-13,2637452,16040.94,2560.72,16,12646.23,78.8,702.37,4.4,131.62,0.8
Stanwood-Camano School District,2012-13,43230176,9573.01,2688.66,28.1,6327.91,66.1,550.36,5.7,6.07,0.1
Star School District,2012-13,284720,40101.41,216.14,0.5,37857.62,94.4,2027.65,5.1,0.00,-
Starbuck School District,2012-13,473025,17584.56,65.53,0.4,16597.36,94.4,921.67,5.2,0.00,-
Stehekin School District,2012-13,297108,23768.61,118.61,0.5,23579.56,99.2,61.87,0.3,8.57,0
Steilacoom Hist. School District,2012-13,28343470,9451.98,2488.43,26.3,6308.70,66.7,648.83,6.9,6.02,0.1
Steptoe School District,2012-13,702270,22146.64,4328.32,19.5,16492.24,74.5,1326.08,6,0.00,-
Stevenson-Carson School District,2012-13,10345260,10712.60,1147.22,10.7,6271.30,58.5,2354.04,22,940.03,8.8
Sultan School District,2012-13,19168310,9774.21,2433.23,24.9,6608.30,67.6,725.88,7.4,6.80,0.1
Summit Valley School District,2012-13,950461,12751.02,836.80,6.6,9986.95,78.3,1921.90,15.1,5.37,0
Sumner School District,2012-13,80420017,9903.82,2795.77,28.2,6244.18,63,603.70,6.1,260.18,2.6
Sunnyside School District,2012-13,64493290,9896.25,406.57,4.1,7291.02,73.7,2176.46,22,22.21,0.2
Tacoma School District,2012-13,317803552,11339.18,3174.36,28,6617.60,58.4,1374.98,12.1,172.24,1.5
